koatuu,lat,lon,name,name:en,name:prefix,name:ru,name:uk,place,population
2321180101,47.26936,34.68452,Велика Білозерка,Velyka Bilozerka,село,Великая Белозёрка,Велика Білозерка,village,8339
2321186502,47.26936,34.68452,Велика Білозерка,Velyka Bilozerka,село,Великая Белозёрка,Велика Білозерка,village,8339
2321187401,47.26936,34.68452,Велика Білозерка,Velyka Bilozerka,село,Великая Белозёрка,Велика Білозерка,village,8339
2321188401,47.26936,34.68452,Велика Білозерка,Velyka Bilozerka,село,Великая Белозёрка,Велика Білозерка,village,8339
1225855300,48.53944,34.70111,Миколаївка,,селище міського типу,Николаевка,Миколаївка,town,1285
2323081809,46.798472,35.359139,Піщанське,,село,,Піщанське,hamlet,58
2323382204,47.241944,35.483056,Солов’ївка,,село,,Солов’ївка,village,112
3224286401,49.338056,30.378056,Станіславчик,,село,,Станіславчик,village,748
4425481004,49.988611,38.435833,Роднички,,село,,Роднички,hamlet,5
5123580404,47.580833,30.552778,Мала Дворянка,,село,,Мала Дворянка,hamlet,3
6120487009,49.561389,24.854167,Стриганці,,село,,Стриганці,village,403
6325157310,49.984444,36.369444,Перемога,,селище,,Перемога,village,199
6521881502,47.497222,33.210278,Лугівка,,село,,Лугівка,hamlet,0
6521884006,47.463056,33.226111,Софіївка,,село,,Софіївка,hamlet,0
7321085702,48.006667,26.129444,Нижні Синівці,,село,,Нижні Синівці,village,984
