town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
м. Сімферополь,338319.0,,,Автономна Республіка Крим,Сімферополь,0110100000,В,01,city,
смт Аграрне,6093.0,,,Автономна Республіка Крим,Сімферополь,0110166200,Т,01,smt,
смт Аерофлотський,2359.0,,,Автономна Республіка Крим,Сімферополь,0110165300,Т,01,smt,
смт Гресівський,11509.0,,,Автономна Республіка Крим,Сімферополь,0110165600,Т,01,smt,
смт Комсомольське,4892.0,,,Автономна Республіка Крим,Сімферополь,0110165800,Т,01,smt,
м. Алушта,28295.0,,,Автономна Республіка Крим,Алушта,0110300000,М,01,town,
смт Партеніт,6086.0,,,Автономна Республіка Крим,Алушта,0110345400,Т,01,smt,
м. Армянськ,22286.0,,,Автономна Республіка Крим,Армянськ,0111500000,М,01,town,
м. Джанкой,35693.0,,,Автономна Республіка Крим,Джанкой,0110600000,М,01,town,
м. Євпаторія,107040.0,,,Автономна Республіка Крим,Євпаторія,0110900000,М,01,town,
смт Заозерне,5023.0,,,Автономна Республіка Крим,Євпаторія,0110945300,Т,01,smt,
смт Мирний,4210.0,,,Автономна Республіка Крим,Євпаторія,0110945600,Т,01,smt,
смт Новоозерне,7393.0,,,Автономна Республіка Крим,Євпаторія,0110945800,Т,01,smt,
м. Керч,144626.0,,,Автономна Республіка Крим,Керч,0111200000,М,01,town,
м. Красноперекопськ,29672.0,,,Автономна Республіка Крим,Красноперекопськ,0111300000,М,01,town,
м. Саки,23391.0,,,Автономна Республіка Крим,Саки,0111400000,М,01,town,
м. Судак,15532.0,,,Автономна Республіка Крим,Судак,0111700000,М,01,town,
смт Новий Світ,1117.0,,,Автономна Республіка Крим,Судак,0111745200,Т,01,smt,
м. Феодосія,69040.0,,,Автономна Республіка Крим,Феодосія,0111600000,М,01,town,
смт Коктебель,2869.0,,,Автономна Республіка Крим,Феодосія,0111645700,Т,01,smt,
смт Курортне,337.0,,,Автономна Республіка Крим,Феодосія,0111645200,Т,01,smt,
смт Орджонікідзе,2650.0,,,Автономна Республіка Крим,Феодосія,0111645400,Т,01,smt,
смт Приморський,14975.0,,,Автономна Республіка Крим,Феодосія,0111646000,Т,01,smt,
смт Щебетовка,3601.0,,,Автономна Республіка Крим,Феодосія,0111646500,Т,01,smt,
м. Ялта,78200.0,,,Автономна Республіка Крим,Ялта,0111900000,М,01,town,
м. Алупка,8528.0,,,Автономна Республіка Крим,Ялта,0111970200,М,01,town,
смт Берегове,489.0,,,Автономна Республіка Крим,Ялта,0111945200,Т,01,smt,
смт Виноградне,1406.0,,,Автономна Республіка Крим,Ялта,0111945600,Т,01,smt,
смт Відрадне,694.0,,,Автономна Республіка Крим,Ялта,0111948500,Т,01,smt,
смт Восход,456.0,,,Автономна Республіка Крим,Ялта,0111945900,Т,01,smt,
смт Гаспра,11384.0,,,Автономна Республіка Крим,Ялта,0111946200,Т,01,smt,
смт Голуба Затока,443.0,,,Автономна Республіка Крим,Ялта,0111946500,Т,01,smt,
смт Гурзуф,9152.0,,,Автономна Республіка Крим,Ялта,0111946800,Т,01,smt,
смт Кацівелі,625.0,,,Автономна Республіка Крим,Ялта,0111947000,Т,01,smt,
смт Кореїз,6337.0,,,Автономна Республіка Крим,Ялта,0111947100,Т,01,smt,
смт Краснокам’янка,1021.0,,,Автономна Республіка Крим,Ялта,0111947400,Т,01,smt,
смт Курпати,415.0,,,Автономна Республіка Крим,Ялта,0111947700,Т,01,smt,
смт Лівадія,1636.0,,,Автономна Республіка Крим,Ялта,0111947900,Т,01,smt,
смт Масандра,8623.0,,,Автономна Республіка Крим,Ялта,0111948100,Т,01,smt,
смт Нікіта,2475.0,,,Автономна Республіка Крим,Ялта,0111945400,Т,01,smt,
смт Ореанда,921.0,,,Автономна Республіка Крим,Ялта,0111948300,Т,01,smt,
смт Паркове,500.0,,,Автономна Республіка Крим,Ялта,0111948700,Т,01,smt,
смт Понизівка,384.0,,,Автономна Республіка Крим,Ялта,0111948900,Т,01,smt,
смт Санаторне,490.0,,,Автономна Республіка Крим,Ялта,0111949100,Т,01,smt,
смт Сімеїз,3919.0,,,Автономна Республіка Крим,Ялта,0111949300,Т,01,smt,
смт Совєтське,579.0,,,Автономна Республіка Крим,Ялта,0111949500,Т,01,smt,
смт Форос,1996.0,,,Автономна Республіка Крим,Ялта,0111949700,Т,01,smt,
м. Бахчисарай,26651.0,,,Автономна Республіка Крим,Бахчисарайський район,0120410100,М,01,town,
смт Куйбишеве,2441.0,,,Автономна Республіка Крим,Бахчисарайський район,0120455300,Т,01,smt,
смт Научний,780.0,,,Автономна Республіка Крим,Бахчисарайський район,0120445100,Т,01,smt,
смт Поштове,3214.0,,,Автономна Республіка Крим,Бахчисарайський район,0120455600,Т,01,smt,
м. Білогірськ,18252.0,,,Автономна Республіка Крим,Білогірський район,0120710100,М,01,town,
смт Зуя,7156.0,,,Автономна Республіка Крим,Білогірський район,0120755300,Т,01,smt,
смт Азовське,3813.0,,,Автономна Республіка Крим,Джанкойський район,0121155200,Т,01,smt,
смт Вільне,2059.0,,,Автономна Республіка Крим,Джанкойський район,0121155400,Т,01,smt,
м. Старий Крим,9478.0,,,Автономна Республіка Крим,Кіровський район,0121610400,М,01,town,
смт Кіровське,7069.0,,,Автономна Республіка Крим,Кіровський район,0121655100,Т,01,smt,
смт Красногвардійське,10779.0,,,Автономна Республіка Крим,Красногвардійський район,0122055100,Т,01,smt,
смт Октябрське,11684.0,,,Автономна Республіка Крим,Красногвардійський район,0122055400,Т,01,smt,
м. Щолкіне,11169.0,,,Автономна Республіка Крим,Ленінський район,0122710500,М,01,town,
смт Леніне,7826.0,,,Автономна Республіка Крим,Ленінський район,0122755100,Т,01,smt,
смт Багерове,3908.0,,,Автономна Республіка Крим,Ленінський район,0122755300,Т,01,smt,
смт Нижньогірський,9436.0,,,Автономна Республіка Крим,Нижньогірський район,0123155100,Т,01,smt,
смт Первомайське,8964.0,,,Автономна Республіка Крим,Первомайський район,0123555100,Т,01,smt,
смт Роздольне,7291.0,,,Автономна Республіка Крим,Роздольненський район,0123955100,Т,01,smt,
смт Новоселівське,3427.0,,,Автономна Республіка Крим,Роздольненський район,0123955400,Т,01,smt,
смт Новофедорівка,6584.0,,,Автономна Республіка Крим,Сакський район,0124355500,Т,01,smt,
смт Гвардійське,12702.0,,,Автономна Республіка Крим,Сімферопольський район,0124755300,Т,01,smt,
смт Молодіжне,7261.0,,,Автономна Республіка Крим,Сімферопольський район,0124755600,Т,01,smt,
смт Миколаївка,2750.0,,,Автономна Республіка Крим,Сімферопольський район,0124755800,Т,01,smt,
смт Совєтський,10069.0,,,Автономна Республіка Крим,Совєтський район,0125255100,Т,01,smt,
смт Чорноморське,11092.0,,,Автономна Республіка Крим,Чорноморський район,0125655100,Т,01,smt,
м. Вінниця,372116.0,372484.0,373302.0,Вінницька область,Вінниця,0510100000,М,05,town,
м. Жмеринка,35354.0,35284.0,34992.0,Вінницька область,Жмеринка,0510300000,М,05,town,
м. Козятин,24180.0,24175.0,24041.0,Вінницька область,Козятин,0510500000,М,05,town,
смт Залізничне,1004.0,1004.0,990.0,Вінницька область,Козятин,0510541000,Т,05,smt,
м. Ладижин,22783.0,22778.0,22732.0,Вінницька область,Ладижин,0510600000,М,05,town,
м. Могилів-Подільський,31832.0,31674.0,31441.0,Вінницька область,Могилів-Подільський,0510400000,М,05,town,
м. Хмільник,28275.0,28332.0,28242.0,Вінницька область,Хмільник,0510900000,М,05,town,
м. Бар,16380.0,16409.0,16337.0,Вінницька область,Барський район,0520210100,М,05,town,
смт Копайгород,1294.0,1289.0,1288.0,Вінницька область,Барський район,0520255300,Т,05,smt,
м. Бершадь,13098.0,13038.0,12999.0,Вінницька область,Бершадський район,0520410100,М,05,town,
смт Вороновиця,6636.0,6635.0,6652.0,Вінницька область,Вінницький район,0520655300,Т,05,smt,
смт Десна,1330.0,1326.0,1316.0,Вінницька область,Вінницький район,0520655500,Т,05,smt,
смт Стрижавка,9074.0,9087.0,9118.0,Вінницька область,Вінницький район,0520655900,Т,05,smt,
м. Гайсин,25879.0,25920.0,25968.0,Вінницька область,Гайсинський район,0520810100,М,05,town,
смт Браїлів,4739.0,4691.0,4643.0,Вінницька область,Жмеринський район,0521055300,Т,05,smt,
м. Іллінці,11360.0,11374.0,11388.0,Вінницька область,Іллінецький район,0521210100,М,05,town,
смт Дашів,3954.0,3927.0,3916.0,Вінницька область,Іллінецький район,0521255400,Т,05,smt,
м. Калинівка,19226.0,19203.0,19035.0,Вінницька область,Калинівський район,0521610100,М,05,town,
смт Бродецьке,2298.0,2282.0,2257.0,Вінницька область,Козятинський район,0521455300,Т,05,smt,
смт Глухівці,3425.0,3430.0,3409.0,Вінницька область,Козятинський район,0521455500,Т,05,smt,
смт Крижопіль,8945.0,8938.0,8920.0,Вінницька область,Крижопільський район,0521955100,Т,05,smt,
м. Липовець,8691.0,8674.0,8642.0,Вінницька область,Липовецький район,0522210100,М,05,town,
смт Турбів,6484.0,6467.0,6410.0,Вінницька область,Липовецький район,0522255500,Т,05,smt,
смт Літин,6766.0,6742.0,6752.0,Вінницька область,Літинський район,0522455100,Т,05,smt,
смт Вендичани,3861.0,3867.0,3837.0,Вінницька область,Могилів-Подільський район,0522655500,Т,05,smt,
смт Муровані Курилівці,5997.0,5977.0,5962.0,Вінницька область,Мурованокуриловецький район,0522855100,Т,05,smt,
м. Немирів,11861.0,11829.0,11822.0,Вінницька область,Немирівський район,0523010100,М,05,town,
смт Брацлав,5635.0,5557.0,5444.0,Вінницька область,Немирівський район,0523055300,Т,05,smt,
смт Ситківці,2332.0,2304.0,2274.0,Вінницька область,Немирівський район,0523055600,Т,05,smt,
смт Оратів,2861.0,2874.0,2846.0,Вінницька область,Оратівський район,0523155100,Т,05,smt,
смт Піщанка,5282.0,5296.0,5274.0,Вінницька область,Піщанський район,0523255100,Т,05,smt,
смт Рудниця,1163.0,1158.0,1146.0,Вінницька область,Піщанський район,0523255400,Т,05,smt,
м. Погребище,9814.0,9765.0,9755.0,Вінницька область,Погребищенський район,0523410100,М,05,town,
смт Теплик,6415.0,6376.0,6333.0,Вінницька область,Теплицький район,0523755100,Т,05,smt,
м. Гнівань,12577.0,12570.0,12569.0,Вінницька область,Тиврівський район,0524510500,М,05,town,
смт Тиврів,4247.0,4162.0,4127.0,Вінницька область,Тиврівський район,0524555100,Т,05,smt,
смт Сутиски,6168.0,6137.0,6145.0,Вінницька область,Тиврівський район,0524555700,Т,05,smt,
смт Томашпіль,5507.0,5495.0,5543.0,Вінницька область,Томашпільський район,0523955100,Т,05,smt,
смт Вапнярка,7830.0,7840.0,7783.0,Вінницька область,Томашпільський район,0523955400,Т,05,smt,
смт Тростянець,7838.0,7818.0,7794.0,Вінницька область,Тростянецький район,0524155100,Т,05,smt,
м. Тульчин,15845.0,15763.0,15368.0,Вінницька область,Тульчинський район,0524310100,М,05,town,
смт Кирнасівка,5269.0,5228.0,5187.0,Вінницька область,Тульчинський район,0524355300,Т,05,smt,
смт Шпиків,3320.0,3284.0,3251.0,Вінницька область,Тульчинський район,0524355600,Т,05,smt,
смт Чернівці,2867.0,2830.0,2799.0,Вінницька область,Чернівецький район,0524955100,Т,05,smt,
смт Чечельник,5147.0,5132.0,5070.0,Вінницька область,Чечельницький район,0525055100,Т,05,smt,
м. Шаргород,6981.0,6987.0,6964.0,Вінницька область,Шаргородський район,0525310100,М,05,town,
м. Ямпіль,11329.0,11346.0,11304.0,Вінницька область,Ямпільський район,0525610100,М,05,town,
м. Луцьк,216076.0,217103.0,217450.0,Волинська область,Луцьк,0710100000,М,07,town,
м. Володимир-Волинський,38964.0,39074.0,39306.0,Волинська область,Володимир-Волинський,0710200000,М,07,town,
м. Ковель,69032.0,69342.0,69235.0,Волинська область,Ковель,0710400000,М,07,town,
м. Нововолинськ,53298.0,53249.0,52970.0,Волинська область,Нововолинськ,0710700000,М,07,town,
смт Благодатне,4776.0,4791.0,4772.0,Волинська область,Нововолинськ,0710745300,Т,07,smt,ЖОВТНЕВЕ
м. Устилуг,2218.0,2200.0,2206.0,Волинська область,Володимир-Волинський район,0720510400,М,07,town,
м. Горохів,9172.0,9165.0,9132.0,Волинська область,Горохівський район,0720810100,М,07,town,
м. Берестечко,1757.0,1727.0,1744.0,Волинська область,Горохівський район,0720810300,М,07,town,
смт Мар’янівка,2824.0,2818.0,2800.0,Волинська область,Горохівський район,0720855400,Т,07,smt,
смт Сенкевичівка,1291.0,1282.0,1294.0,Волинська область,Горохівський район,0720855700,Т,07,smt,
смт Іваничі,6776.0,6738.0,6679.0,Волинська область,Іваничівський район,0721155100,Т,07,smt,
м. Камінь-Каширський,12190.0,12330.0,12428.0,Волинська область,Камінь-Каширський район,0721410100,М,07,town,
м. Ківерці,14480.0,14376.0,14316.0,Волинська область,Ківерцівський район,0721810100,М,07,town,
смт Олика,3138.0,3130.0,3105.0,Волинська область,Ківерцівський район,0721855400,Т,07,smt,
смт Цумань,6371.0,6423.0,6459.0,Волинська область,Ківерцівський район,0721855700,Т,07,smt,
смт Голоби,4104.0,4078.0,4062.0,Волинська область,Ковельський район,0722155300,Т,07,smt,
смт Люблинець,4504.0,4535.0,4529.0,Волинська область,Ковельський район,0722155700,Т,07,smt,
смт Локачі,3888.0,3887.0,3889.0,Волинська область,Локачинський район,0722455100,Т,07,smt,
смт Рокині,1538.0,1539.0,1534.0,Волинська область,Луцький район,0722855200,Т,07,smt,
смт Торчин,4541.0,4581.0,4603.0,Волинська область,Луцький район,0722855400,Т,07,smt,
смт Любешів,5774.0,5819.0,5802.0,Волинська область,Любешівський район,0723155100,Т,07,smt,
м. Любомль,10274.0,10397.0,10438.0,Волинська область,Любомльський район,0723310100,М,07,town,
смт Головне,3006.0,3025.0,3032.0,Волинська область,Любомльський район,0723355300,Т,07,smt,
смт Маневичі,10659.0,10724.0,10735.0,Волинська область,Маневицький район,0723655100,Т,07,smt,
смт Колки,4040.0,4048.0,4036.0,Волинська область,Маневицький район,0723655400,Т,07,smt,
смт Ратне,9843.0,9943.0,9976.0,Волинська область,Ратнівський район,0724255100,Т,07,smt,
смт Заболоття,4372.0,4374.0,4392.0,Волинська область,Ратнівський район,0724255300,Т,07,smt,
м. Рожище,13306.0,13245.0,13149.0,Волинська область,Рожищенський район,0724510100,М,07,town,
смт Дубище,1928.0,1945.0,1946.0,Волинська область,Рожищенський район,0724555300,Т,07,smt,
смт Стара Вижівка,5256.0,5279.0,5293.0,Волинська область,Старовижівський район,0725055100,Т,07,smt,
