,addr:postcode,koatuu,lat,lon,name,name:en,name:prefix,name:ru,name:uk,place,population,postal_code
393,01000-06999,8000000000,50.4501071,30.5240501,Київ,Kyiv,місто,Киев,Київ,city,2909697,
394,,7410100000,51.494099,31.294332,Чернігів,Chernihiv,місто,Чернигов,Чернігів,city,296836,14000-14499
395,,5110100000,46.4846583,30.732564,Одеса,Odessa,місто,Одесса,Одеса,city,1008852,
396,79000-79490,4610100000,49.841952,24.0315921,Львів,Lviv,місто,Львов,Львів,city,728360,
398,,3210500000,50.3512101,30.95077,Бориспіль,Boryspil,місто,Борисполь,Бориспіль,town,58227,08300-08307
3802,62100-62109,6320810100,50.1602639,35.521732,Богодухів,Bohodukhiv,місто,Богодухов,Богодухів,town,19365,
3946,36000-36499,5310100000,49.5897423,34.5507948,Полтава,Poltava,місто,Полтава,Полтава,city,297600,
4227,63300,6323310100,49.3795672,35.4459687,Красноград,Krasnohrad,місто,Красноград,Красноград,town,27600,
4461,69000-69499,2310100000,47.8507859,35.1182867,Запоріжжя,Zaporizhzhia,місто,Запорожье,Запоріжжя,city,772258,
7925,97400-97490,0110900000,45.1908013,33.3678861,Евпатория,Yevpatoriya,місто,Евпатория,Євпаторія,city,106698,
92223,87500-87590,1412300000,47.0957848,37.5499352,Маріуполь,Mariupol,місто,Мариуполь,Маріуполь,city,453623,
93525,08200-08289,3210900000,50.5166516,30.2500322,Ірпінь,Irpin,місто,Ирпень,Ірпінь,town,41533,
93526,08132,3222410600,50.3917497,30.3678999,Вишневе,Vyshneve,місто,Вишнёвое,Вишневе,town,39094,
93527,,3222410300,50.3356709,30.2847595,Боярка,Boiarka,місто,Боярка,Боярка,town,35558,08150-08157
93738,08113,3222486001,50.4216498,30.162504,Петрушки,Petrushky,село,Петрушки,Петрушки,village,669,
93739,08112,3222484401,50.4584854,30.1725886,Дмитрівка,Dmytrivka,село,Дмитровка,Дмитрівка,village,2107,
94136,83000-83490,1410100000,48.0158753,37.8013407,Донецьк,Donetsk,місто,Донецк,Донецьк,city,929063,
97602,,4810100000,46.9713414,32.0042394,Миколаїв,Mykolaiv,місто,Николаев,Миколаїв,city,496689,54000-54490
99831,85612-85614,1423310600,47.9835214,37.2826414,Курахове,Kurakhove,місто,Курахово,Курахове,town,20224,
102554,88000-88499,2110100000,48.6223502,22.3021255,Ужгород,Uzhhorod,місто,Ужгород,Ужгород,city,114867,
102555,"89500-89509, 89502",2111000000,48.4310953,22.2096148,Чоп,Chop,місто,Чоп,Чоп,town,8981,
103842,07270,3222010500,51.2705259,30.2194322,Чорнобиль,Chornobyl,місто,Чернобыль,Чорнобиль,town,550,
103843,,3211100000,51.4061237,30.0571098,Прип’ять,Pripyat,місто,Припять,Прип’ять,town,5,
104427,11700-11709,1811000000,50.5917622,27.6066973,Новоград-Волинський,Novohrad-Volynskyi,місто,Новоград-Волынский,Новоград-Волинський,town,56254,
104654,33000-33499,5610100000,50.6196175,26.2513165,Рівне,Rivne,місто,Ровно,Рівне,city,245323,
104790,43000-43499,0710100000,50.7450733,25.320078,Луцьк,Lutsk,місто,Луцк,Луцьк,city,217502,
104987,45000-45014,0710400000,51.2090293,24.7166617,Ковель,Kovel,місто,Ковель,Ковель,town,68703,
105399,37300-37305,5310300000,50.3701607,33.9948388,Гадяч,Hadiach,місто,Гадяч,Гадяч,town,22667,
110082,82400,4611200000,49.255875,23.8530863,Стрий,Stryi,місто,Стрый,Стрий,town,60154,
110126,20300-20319,7110800000,48.7440014,30.2237716,Умань,Uman,місто,Умань,Умань,town,86614,
110127,20000-20008,7124610100,48.8182387,29.9682196,Христинівка,Khrystynivka,місто,Христиновка,Христинівка,town,8671,
110533,20034,7124684501,48.7710083,29.9908932,Орадівка,Oradivka,село,Орадовка,Орадівка,village,907,
110534,20340,7124386101,48.7320741,30.1026447,Паланка,Palanka,село,Паланка,Паланка,village,1608,
110535,20032,7124685501,48.7803903,30.034413,Розсішки,Rozsishky,село,Россошки,Розсішки,village,1323,
110536,20033,7124685502,48.7945353,30.071574,Веселівка,Veselivka,село,Веселовка,Веселівка,village,462,
110537,20022,7124655300,48.829805,30.0417049,Верхнячка,,селище міського типу,Верхнячка,Верхнячка,town,4058,
110538,20030,7124684001,48.7928381,29.9190763,Мала Севастянівка,Mala Sevastianivka,село,Малая Севастьяновка,Мала Севастянівка,village,365,
110539,20051,7124683003,48.6891435,29.999982,Хасанівка,Khasanivka,селище,Хасановка,Хасанівка,hamlet,6,
110587,20042,7124689001,48.7427963,29.9531857,Ягубець,Yahubets,село,Ягубец,Ягубець,village,1143,
110749,21000-21499,0510100000,49.2320162,28.467975,Вінниця,Vinnytsia,місто,Винница,Вінниця,city,373302,
110799,20021,7124681502,48.8610555,30.0862457,Багачівка,Bahachivka,село,Багачовка,Багачівка,village,168,
110838,20010,7124680501,48.9560555,30.0261642,Ботвинівка,Botvynivka,село,Ботвиновка,Ботвинівка,village,421,
110839,20020,7124681501,48.8204959,30.0996353,Вербувата,Verbuvata,село,Вербоватая,Вербувата,village,431,
110850,20010,7124680502,48.9595596,30.0560527,Гребля,Hreblia,село,Гребля,Гребля,village,216,
111565,20052,7124684701,48.6563866,30.0342103,Осітна,Ositna,село,Осотная,Осітна,village,780,
111566,20050,7124686001,48.6956834,30.0706642,Синиця,Synytsia,село,Синица,Синиця,village,918,
111567,20025,7124685001,48.8725059,30.0297471,Пеніжкове,Penizhkove,село,Пенежково,Пеніжкове,village,608,
111660,,8500000000,44.6054434,33.5220842,Севастополь,Sevastopol,город,Севастополь,Севастополь,city,416283,
111844,29000-29499,6810100000,49.4196404,26.9793793,Хмельницький,Khmelnytskyi,місто,Хмельницкий,Хмельницький,city,269308,
114888,10000-10499,1810100000,50.2598298,28.6692345,Житомир,Zhytomyr,місто,Житомир,Житомир,city,267610,
115741,95000-95490,0110100000,44.9521394,34.1024575,Симферополь,Simferopol,город,Симферополь,Сімферополь,city,336430,
115742,20012,7124682201,48.930912,29.9898347,Зоряне,Zoriane,село,Зоряное,Зоряне,village,254,
115743,20040,7124682501,48.8018502,29.808141,Івангород,Ivanhorod,село,Ивангород,Івангород,village,1193,
115744,20030,7124684004,48.8098501,29.8961999,Козаче,Kozache,село,Казачье,Козаче,village,275,
115745,20013,7124683501,48.91,30.06,Ліщинівка,Lischynivka,село,Лещиновка,Ліщинівка,village,843,
115746,20022,7124681503,48.8563318,30.1019251,Мала Іванівка,Mala Ivanivka,село,Малая Ивановка,Мала Іванівка,hamlet,30,
115747,20043,7124682001,48.710633,29.962117,Заячківка,Zaiachkivka,село,Заячковка,Заячківка,village,635,
115748,20041,7124686501,48.7948679,29.8438268,Сичівка,Sychivka,село,Сычовка,Сичівка,village,965,
116572,27400,3510600000,48.7199609,32.6659476,Знам’янка,Znamianka,місто,Знаменка,Знам’янка,town,24274,
116616,57500,4810300000,46.6153998,31.5457415,Очаків,Ochakiv,місто,Очаков,Очаків,town,14834,
116729,91000-91479,4410100000,48.5687002,39.3151108,Луганськ,Luhansk,місто,Луганск,Луганськ,city,414509,
116810,94200-94299,4411200000,48.4693266,38.803538,Алчевськ,Alchevsk,місто,Алчевск,Алчевськ,city,112013,
118378,82200,4611500000,49.2783459,23.5064459,Трускавець,Truskavets,місто,Трускавец,Трускавець,town,29220,
118433,90200-90209,2110200000,48.2050985,22.6453246,Берегове,Berehove,місто,Берегово,Берегове,town,24580,
118629,93652,4424880504,48.6778398,39.5136901,Макарове,Makarove,село,Макарово,Макарове,village,1786,
120071,298500-298519,0110300000,44.677112,34.4095393,Алушта,Alushta,місто,Алушта,Алушта,town,28919,
122256,09100-09117,3210300000,49.8038191,30.1116924,Біла Церква,Bila Tserkva,місто,Белая Церковь,Біла Церква,city,209815,
122261,12501,1822510100,50.3242036,29.0399759,Коростишів,Korostyshiv,місто,Коростышев,Коростишів,town,25768,
124900,,6510100000,46.640176,32.6145315,Херсон,Kherson,місто,Херсон,Херсон,city,294941,73000-73480
130364,96100-96114,0110600000,45.7093755,34.3899131,Джанкой,Dzhankoy,місто,Джанкой,Джанкой,town,36665,
130570,83492-83497,1410160500,47.8813092,38.0746792,Моспине,Mospyne,місто,Моспино,Моспине,town,10753,
130571,83499,1410166300,47.85215,38.00969,Горбачево-Михайлівка,Horbachevo-Mykhailivka,селище міського типу,Горбачёво-Михайловка,Горбачево-Михайлівка,town,935,
130572,83498,1410166301,47.86211,38.0835,Бирюки,Byriuky,село,Бирюки,Бирюки,village,696,
130573,83498,1410166303,47.8337459,38.0787182,Вербова Балка,Verbova Balka,село,Вербовая Балка,Вербова Балка,village,138,
130574,83494,1410166305,47.8774761,37.9969227,Гришки,Hryshky,село,Гришки,Гришки,village,63,
130575,83498,1410166307,47.8339758,38.135748,Михайлівка,Mykhailivka,село,Михайловка,Михайлівка,village,64,
130576,83498,1410166309,47.8417839,38.1460261,Новодвірське,Novodvirske,село,Новодворское,Новодвірське,village,62,
130577,83496,1410166311,47.91172,37.99724,Октябрське,Oktiabrske,село,Октябрьское,Октябрське,village,78,
130578,83499,1410166313,47.89558,37.98591,Темрюк,Temriuk,село,Темрюк,Темрюк,village,247,
130579,83491,1410167600,47.88983,37.92884,Ларине,Laryne,селище міського типу,Ларино,Ларине,town,2789,
130580,83491,1410167601,47.86331,37.94789,Павлоградське,Pavlohradske,село,Павлоградское,Павлоградське,village,359,
130582,84500-84510,1410300000,48.5915754,37.9837099,Бахмут,Bakhmut,місто,Бахмут,Бахмут,town,83146,
130583,84536,1410345600,48.66283,38.01527,Красна Гора,Krasna Hora,селище міського типу,Красная Гора,Красна Гора,town,686,
130584,84545-84548,1420910800,48.6948731,38.0627964,Соледар,Soledar,місто,Соледар,Соледар,town,11898,
130585,84551-84556,1420911000,48.5873911,37.8373367,Часів Яр,Chasiv Yar,місто,Часов Яр,Часів Яр,town,14360,
130586,84601,1410640001,48.2553016,38.0168837,П’ятихатки,Piatykhatky,селище,Пятихатки,П’ятихатки,village,136,
130587,,1410600000,48.3058686,38.0027664,Горлівка,Horlivka,місто,Горловка,Горлівка,city,289872,84646
130588,84691,1410665300,48.40422,38.08119,Гольмівський,Holmivskyi,селище міського типу,Гольмовский,Гольмівський,town,7127,
130589,84601,1410640003,48.262396,38.0432807,Федорівка,Fedorivka,селище,Фёдоровка,Федорівка,village,74,
130590,84692,1420955200,48.40087,38.02643,Зайцеве,Zaitseve,селище міського типу,Зайцево,Зайцеве,town,3523,
130591,84691,1410665301,48.42945,38.07655,Гладосове,Hladosove,селище,Гладосово,Гладосове,village,121,
130592,84694,1410666701,48.1705,38.01913,Рясне,Riasne,село,Рясное,Рясне,hamlet,9,
130593,84693,1410691003,48.2442929,37.975037,Михайлівка,Mykhailivka,село,Михайловка,Михайлівка,village,627,
130594,84693,1410691001,48.27762,37.98995,Озерянівка,Ozerianivka,селище,Озеряновка,Озерянівка,village,1154,
130595,84619,1410691007,48.30242,37.93313,Широка Балка,Shyroka Balka,селище,Широкая Балка,Широка Балка,village,477,
130596,84693,1410691005,48.25212,37.93613,Ставки,Stavky,селище,Ставки,Ставки,hamlet,34,
130597,84791,1420955500,48.4620526,38.2754689,Миронівський,Myronivskyi,селище міського типу,Мироновский,Миронівський,town,8100,
